1960	23.7
1961	23.3
1962	22.4
1963	21.7
1964	21.1
1965	19.4
1966	18.4
1967	17.8
1968	17.6
1969	17.9
1970	18.4
1971	17.2
1972	15.6
1973	14.8
1974	14.8
1975	14.6
1976	14.6
1977	15.1
1978	15
1979	15.6
1980	15.9
1981	15.8
1982	15.9
1983	15.6
1984	15.6
1985	15.8
1986	15.6
1987	15.7
1988	16
1989	16.4
1990	16.7
1991	16.2
1992	15.8
1993	15.4
1994	15
1995	14.6
1996	14.4
1997	14.2
1998	14.3
1999	14.2
2000	14.4
2001	14.1
2002	14
2003	14.1
2004	14
2005	14
2006	14.3
2007	14.3
2008	14
2009	13.5
2010	13
2011	12.7
2012	12.6
2013	12.4
2014	12.5
2015	NA
